epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.991,1.8559,2.45975,1.35415,0.91749,0.32046,0.66975,0.35286,1.53312,2.67583,1.08461,0.000406977,0.000406977,0.000406977
2,973.286,1.64136,1.22352,1.14786,0.91533,0.5616,0.88478,0.43908,1.68428,1.74395,1.08162,0.000660562,0.000660562,0.000660562
3,1425.15,1.54269,1.102,1.12097,0.80204,0.82651,0.9025,0.40251,1.84117,1.34072,1.14954,0.000749147,0.000749147,0.000749147
4,1861.7,1.51151,1.02976,1.11246,0.87886,0.89179,0.93846,0.5232,1.43377,0.95011,1.04142,0.0005075,0.0005075,0.0005075
5,2314.83,1.46365,0.96352,1.08882,0.86638,0.89156,0.93665,0.52709,1.44012,0.88725,1.02401,0.00026,0.00026,0.00026
