epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.11,3.57932,12.3508,4.27927,0.00243,0.15217,0.00333,0.00099,3.58891,13.0313,4.15828,7.5e-05,7.5e-05,7.5e-05
2,144.316,3.69541,12.2972,4.23775,0.0023,0.15217,0.00475,0.00134,3.58691,13.0267,4.15588,0.000160891,0.000160891,0.000160891
3,204.119,3.62103,11.9667,4.21059,0.00239,0.15217,0.00864,0.00216,3.58254,13.0159,4.15127,0.00024505,0.00024505,0.00024505
4,271.661,3.5716,11.6638,4.17382,0.00229,0.15217,0.0157,0.00348,3.57677,13.003,4.14517,0.000327476,0.000327476,0.000327476
5,344.024,3.54959,11.4861,4.1199,0.00219,0.15217,0.01478,0.00381,3.56161,12.9797,4.13172,0.00040817,0.00040817,0.00040817
6,419.469,3.45206,10.9937,4.0695,0.00222,0.15217,0.01113,0.00333,3.5503,12.9537,4.11946,0.000487131,0.000487131,0.000487131
7,494.414,3.36892,10.7259,3.97398,0.00227,0.15217,0.00905,0.00236,3.55134,12.9738,4.11593,0.00056436,0.00056436,0.00056436
8,564.769,3.51893,10.4936,3.86386,0.0023,0.15217,0.01611,0.00486,3.53998,12.9166,4.10328,0.000639856,0.000639856,0.000639856
9,630.239,3.41975,10.1161,3.80314,0.0023,0.15217,0.0238,0.00459,3.60436,13.0114,4.16851,0.00071362,0.00071362,0.00071362
10,701.427,3.43411,10.1519,3.76161,0.00227,0.15217,0.02855,0.00658,3.64225,12.9279,4.19493,0.000785651,0.000785651,0.000785651
11,760.11,3.32568,9.89011,3.64179,0.00232,0.15217,0.02721,0.00631,3.68316,13.0678,4.24766,0.00085595,0.00085595,0.00085595
12,820.125,3.26605,9.70357,3.54654,0.00152,0.07609,0.0012,0.00028,4.12807,13.9302,4.64244,0.000924516,0.000924516,0.000924516
