epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,879.097,3.17278,9.66678,3.52769,0.00198,0.09783,0.00196,0.00042,4.05991,13.709,4.58307,0.00099135,0.00099135,0.00099135
14,939.138,3.16223,9.30236,3.49495,0.00269,0.21739,0.03229,0.00783,3.6491,12.2804,4.00789,0.00105645,0.00105645,0.00105645
15,1000.17,3.13153,9.14446,3.47261,0.00212,0.21739,0.02852,0.00712,3.69623,12.4267,4.01674,0.00107675,0.00107675,0.00107675
16,1061.56,3.19441,9.04961,3.44082,0.00291,0.20652,0.02637,0.0064,3.64811,12.4392,4.08003,0.00106437,0.00106437,0.00106437
17,1141.15,3.05532,9.01992,3.35886,0.00375,0.22391,0.0115,0.00282,3.68221,12.5994,4.22135,0.001052,0.001052,0.001052
18,1211.26,3.14603,8.95335,3.31822,0.00323,0.22971,0.00812,0.00208,3.567,12.3098,4.11351,0.00103962,0.00103962,0.00103962
19,1288.52,3.0109,8.65289,3.22592,0.01137,0.16957,0.00981,0.00249,3.38135,11.9351,3.93096,0.00102725,0.00102725,0.00102725
20,1365.43,2.97294,8.72154,3.26176,0.02315,0.0331,0.02855,0.00679,3.06817,11.0678,3.6154,0.00101488,0.00101488,0.00101488
21,1444.3,2.97243,8.51921,3.21262,0.40455,0.11647,0.07116,0.02059,2.9762,11.0188,3.50113,0.0010025,0.0010025,0.0010025
22,1524.25,2.90559,8.5877,3.18833,0.51369,0.13722,0.14465,0.04925,2.85022,11.1905,3.2704,0.000990125,0.000990125,0.000990125
23,1599.61,2.8409,8.23216,3.11406,0.22272,0.23979,0.16405,0.05228,2.68473,10.1917,3.17457,0.00097775,0.00097775,0.00097775
24,1676.89,2.80698,8.10674,3.10345,0.16162,0.16198,0.11625,0.03477,2.73207,9.88924,3.22935,0.000965375,0.000965375,0.000965375
25,1743.16,2.80234,8.09347,3.06232,0.20211,0.22682,0.1282,0.03679,2.74183,9.71994,3.24736,0.000953,0.000953,0.000953
26,1810.91,2.79865,7.99134,3.0804,0.2518,0.26893,0.21532,0.07286,2.61751,9.12701,3.14248,0.000940625,0.000940625,0.000940625
27,1875.45,2.76553,7.81442,2.9958,0.5571,0.19893,0.21607,0.07062,2.66508,9.19246,3.15215,0.00092825,0.00092825,0.00092825
28,1933.57,2.74261,7.885,3.0396,0.19364,0.3273,0.18073,0.05365,2.64295,9.14094,3.16631,0.000915875,0.000915875,0.000915875
29,1991.15,2.7275,7.61417,2.99926,0.1779,0.25289,0.16748,0.06185,2.57996,9.08261,3.08235,0.0009035,0.0009035,0.0009035
30,2049.43,2.69522,7.65817,2.96072,0.47648,0.32387,0.24712,0.0893,2.62967,8.92411,3.04275,0.000891125,0.000891125,0.000891125
31,2107.54,2.59624,7.45218,2.89268,0.47068,0.30797,0.26329,0.08899,2.64506,9.11943,3.05418,0.00087875,0.00087875,0.00087875
32,2166.31,2.6252,7.6288,2.95782,0.19879,0.37007,0.24469,0.07998,2.57033,8.97902,2.91843,0.000866375,0.000866375,0.000866375
33,2223.5,2.59317,7.60777,2.90581,0.30227,0.40419,0.25967,0.08882,2.51807,8.85093,2.87397,0.000854,0.000854,0.000854
34,2281.27,2.50654,7.3302,2.79832,0.25369,0.34693,0.22909,0.08523,2.50878,8.65935,2.89387,0.000841625,0.000841625,0.000841625
35,2338.89,2.51912,7.4733,2.85152,0.35074,0.36618,0.3395,0.1333,2.44941,8.36061,2.8753,0.00082925,0.00082925,0.00082925
36,2397.27,2.50263,7.25122,2.80801,0.65125,0.20072,0.34193,0.14047,2.44765,8.38687,2.81945,0.000816875,0.000816875,0.000816875
37,2454.69,2.46098,7.05436,2.77375,0.41323,0.39763,0.35464,0.14908,2.36798,8.03133,2.77064,0.0008045,0.0008045,0.0008045
38,2511.97,2.51373,7.15787,2.83235,0.48521,0.31718,0.34846,0.14725,2.35032,7.9788,2.74997,0.000792125,0.000792125,0.000792125
39,2569.7,2.47495,7.03316,2.76249,0.52268,0.35097,0.37916,0.17912,2.31842,8.64686,2.72744,0.00077975,0.00077975,0.00077975
40,2672.02,2.44469,6.9285,2.73316,0.40725,0.42518,0.38774,0.17986,2.31734,9.65437,2.71581,0.000767375,0.000767375,0.000767375
41,2744.97,2.42006,7.10716,2.72672,0.39623,0.44016,0.41033,0.18901,2.28664,8.84167,2.70993,0.000755,0.000755,0.000755
42,2809.84,2.36558,6.83909,2.70855,0.40395,0.51342,0.41962,0.20345,2.23604,8.80295,2.65928,0.000742625,0.000742625,0.000742625
43,2877.82,2.32832,6.73508,2.67699,0.53131,0.48676,0.49128,0.23387,2.17132,8.1457,2.60912,0.00073025,0.00073025,0.00073025
44,2958.53,2.3875,6.78502,2.63459,0.58818,0.45103,0.5056,0.26064,2.10933,7.71518,2.56345,0.000717875,0.000717875,0.000717875
45,3024.66,2.25911,6.44449,2.60533,0.55451,0.43095,0.49762,0.24925,2.10356,7.76025,2.56851,0.0007055,0.0007055,0.0007055
46,3086.11,2.33982,6.60781,2.64278,0.50619,0.44433,0.4775,0.22507,2.08728,7.59616,2.57081,0.000693125,0.000693125,0.000693125
47,3147.98,2.2706,6.39809,2.58942,0.52906,0.49336,0.48867,0.2201,2.03225,7.52492,2.51636,0.00068075,0.00068075,0.00068075
48,3208.55,2.15926,6.12177,2.50639,0.54651,0.54846,0.56227,0.27706,2.03753,7.01941,2.48011,0.000668375,0.000668375,0.000668375
49,3268.22,2.22737,6.27138,2.51382,0.51125,0.51234,0.55862,0.26977,2.06031,7.12722,2.47588,0.000656,0.000656,0.000656
50,3329.45,2.21849,6.34613,2.49316,0.74923,0.41255,0.56399,0.25049,2.09139,6.89892,2.49326,0.000643625,0.000643625,0.000643625
51,3391.45,2.16689,6.0062,2.4258,0.62939,0.47557,0.49638,0.22611,2.03675,6.75899,2.48502,0.00063125,0.00063125,0.00063125
52,3454.73,2.14844,5.9569,2.45929,0.43627,0.49384,0.47803,0.24388,1.99575,6.87921,2.49966,0.000618875,0.000618875,0.000618875
53,3517.04,2.13723,6.12328,2.45944,0.67651,0.40577,0.49011,0.23656,2.05856,7.03302,2.52568,0.0006065,0.0006065,0.0006065
54,3576.92,2.17175,5.98332,2.44694,0.65762,0.47584,0.53909,0.25622,2.03031,6.40906,2.43251,0.000594125,0.000594125,0.000594125
55,3636.88,2.11747,5.6986,2.43378,0.72234,0.4724,0.57585,0.2563,2.03461,6.55527,2.46055,0.00058175,0.00058175,0.00058175
56,3696.77,2.11524,5.73152,2.38353,0.73805,0.46287,0.57286,0.26097,1.97648,6.29975,2.43832,0.000569375,0.000569375,0.000569375
57,3757.76,2.03206,5.73247,2.37587,0.77394,0.43374,0.59639,0.27913,1.91891,6.23106,2.40272,0.000557,0.000557,0.000557
58,3820.72,2.05145,5.67823,2.37231,0.60613,0.52751,0.58471,0.31942,1.78174,5.97669,2.29813,0.000544625,0.000544625,0.000544625
59,3881.83,2.02624,5.49353,2.30599,0.56241,0.59618,0.60257,0.33321,1.78481,5.85322,2.28018,0.00053225,0.00053225,0.00053225
60,3942.35,2.06578,5.5222,2.32436,0.59357,0.5859,0.60606,0.33722,1.86151,5.93291,2.33243,0.000519875,0.000519875,0.000519875
61,4010.16,2.00413,5.54962,2.33104,0.61505,0.63135,0.61148,0.33755,1.83344,5.90794,2.33549,0.0005075,0.0005075,0.0005075
62,4079.78,2.04268,5.63687,2.34872,0.65277,0.58892,0.61686,0.32659,1.80496,6.00362,2.28935,0.000495125,0.000495125,0.000495125
63,4145.45,1.9935,5.47803,2.26269,0.61748,0.62526,0.64132,0.33492,1.80779,5.86634,2.26824,0.00048275,0.00048275,0.00048275
64,4211.58,1.98846,5.2511,2.23446,0.72614,0.53695,0.64283,0.33986,1.8215,5.89291,2.28722,0.000470375,0.000470375,0.000470375
65,4274.09,2.00456,5.51086,2.33769,0.60643,0.60099,0.6338,0.33587,1.82697,5.89754,2.29517,0.000458,0.000458,0.000458
66,4334.28,1.89893,5.0593,2.20913,0.58632,0.6032,0.61599,0.34128,1.73831,5.68343,2.22858,0.000445625,0.000445625,0.000445625
67,4396.42,1.94954,5.22389,2.25415,0.78787,0.50779,0.63933,0.3438,1.75003,5.50721,2.21683,0.00043325,0.00043325,0.00043325
68,4470.27,2.00371,5.49826,2.3405,0.64889,0.62405,0.68289,0.34325,1.7735,5.37989,2.20925,0.000420875,0.000420875,0.000420875
69,4530.1,1.98502,5.31456,2.2922,0.67819,0.63557,0.69185,0.35948,1.70099,5.32716,2.14365,0.0004085,0.0004085,0.0004085
70,4589.48,1.97074,5.21693,2.25946,0.8514,0.51523,0.67726,0.38514,1.68463,5.13597,2.12643,0.000396125,0.000396125,0.000396125
71,4656.86,1.88297,4.95856,2.20699,0.73505,0.5981,0.68921,0.36499,1.73524,5.26108,2.17433,0.00038375,0.00038375,0.00038375
72,4718.76,1.9155,5.09035,2.23032,0.78267,0.56205,0.65528,0.34878,1.74698,5.37568,2.18103,0.000371375,0.000371375,0.000371375
73,4785.49,1.84918,4.83844,2.1411,0.7848,0.56919,0.65479,0.33772,1.75809,5.37249,2.18652,0.000359,0.000359,0.000359
74,4852.17,1.86567,4.92594,2.12561,0.65525,0.565,0.65801,0.35715,1.71391,5.15042,2.15103,0.000346625,0.000346625,0.000346625
75,4917.93,1.87545,4.99165,2.16395,0.61604,0.62739,0.6548,0.35523,1.66389,5.18076,2.11872,0.00033425,0.00033425,0.00033425
76,4981.1,1.89061,4.85212,2.20262,0.59972,0.60602,0.64413,0.36046,1.70054,5.31133,2.13584,0.000321875,0.000321875,0.000321875
77,5047.51,1.86919,4.99298,2.18657,0.60285,0.63913,0.63773,0.36227,1.71587,5.51875,2.15067,0.0003095,0.0003095,0.0003095
78,5115.26,1.89979,5.01112,2.20669,0.69213,0.65305,0.67867,0.38985,1.68229,5.37412,2.11053,0.000297125,0.000297125,0.000297125
79,5186.38,1.86557,4.88957,2.17825,0.75663,0.6576,0.69384,0.39027,1.66254,5.10948,2.09012,0.00028475,0.00028475,0.00028475
80,5246.64,1.84402,4.81164,2.15135,0.74196,0.62227,0.70482,0.42222,1.58554,5.1088,2.06005,0.000272375,0.000272375,0.000272375
81,5315.65,1.7853,4.62148,2.06533,0.78504,0.58567,0.70014,0.41704,1.57237,5.07537,2.05326,0.00026,0.00026,0.00026
82,5395.09,1.75697,4.68546,2.10073,0.76404,0.5648,0.67459,0.38969,1.56401,4.98064,2.03598,0.000247625,0.000247625,0.000247625
83,5457.53,1.82219,4.61439,2.12654,0.6279,0.62703,0.66207,0.38767,1.55898,5.01337,2.02535,0.00023525,0.00023525,0.00023525
84,5519.25,1.80138,4.59175,2.07313,0.70702,0.63211,0.696,0.41905,1.55018,4.93177,2.02245,0.000222875,0.000222875,0.000222875
85,5590,1.83756,4.92274,2.14004,0.67853,0.67786,0.71274,0.44206,1.55953,4.86802,2.02149,0.0002105,0.0002105,0.0002105
86,5652.51,1.9119,5.11378,2.22835,0.70563,0.68509,0.71952,0.439,1.56206,4.82177,2.01523,0.000198125,0.000198125,0.000198125
87,5717.36,1.75593,4.53249,2.04719,0.72464,0.60837,0.71343,0.42873,1.56276,4.84929,2.01109,0.00018575,0.00018575,0.00018575
88,5781.94,1.71997,4.35093,1.99921,0.84825,0.55829,0.70427,0.42301,1.56106,4.856,1.99878,0.000173375,0.000173375,0.000173375
89,5849.77,1.78914,4.68643,2.06977,0.81549,0.56373,0.69904,0.41728,1.56672,4.85108,1.99387,0.000161,0.000161,0.000161
90,5909.69,1.74441,4.47821,2.05107,0.80574,0.56197,0.6954,0.40978,1.58581,4.8636,2.00178,0.000148625,0.000148625,0.000148625
91,5966.17,1.58724,5.22591,1.94977,0.79752,0.57622,0.69449,0.41209,1.56095,4.94662,1.97544,0.00013625,0.00013625,0.00013625
92,6022.36,1.56097,4.80563,1.96665,0.80002,0.54184,0.68124,0.40567,1.54548,5.03927,1.96784,0.000123875,0.000123875,0.000123875
93,6079.34,1.53297,4.65661,1.94445,0.79834,0.54771,0.68078,0.39824,1.54978,5.07262,1.97534,0.0001115,0.0001115,0.0001115
94,6135.26,1.53671,4.5882,1.88317,0.85791,0.54761,0.69886,0.39229,1.55999,5.02268,1.98391,9.9125e-05,9.9125e-05,9.9125e-05
95,6191.47,1.56828,4.58858,1.90765,0.78281,0.57867,0.71572,0.41352,1.53689,4.8667,1.9657,8.675e-05,8.675e-05,8.675e-05
96,6248.78,1.58561,4.49495,1.92583,0.69663,0.66316,0.72473,0.43328,1.52364,4.79647,1.95231,7.4375e-05,7.4375e-05,7.4375e-05
97,6307.54,1.49126,4.14526,1.85608,0.68519,0.69055,0.71481,0.42965,1.53183,4.77806,1.9525,6.2e-05,6.2e-05,6.2e-05
98,6369.73,1.53567,4.13591,1.92157,0.71551,0.64887,0.71733,0.42626,1.54531,4.75443,1.95913,4.9625e-05,4.9625e-05,4.9625e-05
99,6427.23,1.57006,4.28148,1.94802,0.67434,0.67858,0.71872,0.42202,1.54588,4.78455,1.95809,3.725e-05,3.725e-05,3.725e-05
100,6484.74,1.52062,4.14472,1.89694,0.69832,0.65045,0.71649,0.42354,1.5387,4.77661,1.95309,2.4875e-05,2.4875e-05,2.4875e-05
