epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9802,1.30609,3.58638,1.30343,0.0081,0.22826,0.18526,0.10834,1.09978,3.69303,1.0118,7.5e-05,7.5e-05,7.5e-05
2,48.4937,1.15998,3.28845,1.16695,0.00899,0.22826,0.21924,0.16664,0.93235,3.54291,0.89339,0.000154456,0.000154456,0.000154456
3,64.8818,1.26317,2.74423,1.13877,0.01083,0.23913,0.21549,0.17607,0.95526,3.47286,0.88231,0.00022525,0.00022525,0.00022525
4,80.3337,1.13651,2.14175,1.12758,0.97954,0.12209,0.22919,0.18203,0.99975,3.34342,0.91031,0.000287381,0.000287381,0.000287381
5,94.9526,1.17984,1.74137,1.0983,0.97515,0.19565,0.46983,0.35951,1.06272,2.90269,0.94778,0.00034085,0.00034085,0.00034085
6,111.629,1.10478,1.40675,1.06327,0.86457,0.32064,0.5827,0.40619,1.091,2.43998,0.95533,0.000385656,0.000385656,0.000385656
7,130.542,1.08332,1.21799,1.05566,0.85371,0.4107,0.67935,0.49254,0.9581,1.86894,0.92775,0.0004218,0.0004218,0.0004218
8,147.916,1.04568,1.10749,1.03938,0.90413,0.46531,0.71831,0.51852,0.92229,1.72604,0.91432,0.000449281,0.000449281,0.000449281
9,165.734,1.04262,1.04511,1.04632,0.88837,0.55237,0.75829,0.53656,0.95314,1.64456,0.91682,0.0004681,0.0004681,0.0004681
10,188.954,0.98406,1.00038,1.0233,0.81644,0.63128,0.75937,0.55952,0.96136,1.57253,0.91248,0.000478256,0.000478256,0.000478256
11,210.227,0.91473,1.05569,0.93954,0.83002,0.61963,0.79158,0.57929,0.89886,1.42716,0.89027,0.00047975,0.00047975,0.00047975
12,240.362,0.90009,0.93543,0.97991,0.87082,0.54901,0.82447,0.58015,0.91536,1.49473,0.89299,0.000472581,0.000472581,0.000472581
13,264.411,0.89035,0.91754,0.9629,0.90238,0.65143,0.84399,0.5879,0.94532,1.46917,0.9081,0.00045675,0.00045675,0.00045675
14,287.196,0.88364,0.84572,0.94399,0.87518,0.70047,0.84598,0.58715,0.90014,1.2466,0.89373,0.000432256,0.000432256,0.000432256
15,313.325,0.83692,0.83543,0.94264,0.95373,0.66264,0.84837,0.61206,0.86427,1.15856,0.87769,0.00038375,0.00038375,0.00038375
16,347.444,0.82273,0.80981,0.92735,0.85387,0.73623,0.8624,0.61086,0.84752,1.10036,0.87607,0.000321875,0.000321875,0.000321875
17,366.573,0.7984,0.78588,0.93013,0.87209,0.72944,0.85834,0.62147,0.83638,1.08249,0.87637,0.00026,0.00026,0.00026
18,383.075,0.81267,0.78567,0.92347,0.85685,0.76957,0.86776,0.62318,0.81214,1.00135,0.87012,0.000198125,0.000198125,0.000198125
19,401.315,0.80965,0.74883,0.92541,0.85372,0.76769,0.87415,0.63187,0.79845,0.94018,0.86623,0.00013625,0.00013625,0.00013625
20,418.176,0.77212,0.74505,0.89927,0.80733,0.81861,0.87705,0.63891,0.78983,0.90168,0.86326,7.4375e-05,7.4375e-05,7.4375e-05
