epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2491,1.96966,2.9451,1.39854,0.9379,0.14339,0.23163,0.12961,1.79522,2.54097,1.13043,0.000361721,0.000361721,0.000361721
2,173.351,1.77668,1.42954,1.15151,0.58208,0.40798,0.44574,0.2038,1.83845,1.55864,1.08731,0.000659581,0.000659581,0.000659581
3,268.649,1.66092,1.16166,1.10016,0.6707,0.48263,0.51889,0.17825,2.12311,1.24673,1.1464,0.000884115,0.000884115,0.000884115
4,374.895,1.581,1.05185,1.07726,0.7613,0.51587,0.6054,0.26626,1.74729,1.14044,1.05858,0.000781033,0.000781033,0.000781033
5,503.463,1.49737,0.95982,1.04746,0.76788,0.60154,0.64906,0.27796,1.72704,1.01845,1.04967,0.000671044,0.000671044,0.000671044
6,623.426,1.50556,0.93992,1.03976,0.73015,0.57205,0.63747,0.32105,1.4996,0.93985,1.01951,0.000561055,0.000561055,0.000561055
7,746.847,1.44913,0.90844,1.03165,0.77506,0.62244,0.6762,0.31776,1.58594,0.91012,1.03745,0.000451066,0.000451066,0.000451066
8,859.165,1.42263,0.87324,1.01765,0.76525,0.63719,0.697,0.32967,1.57602,0.8754,1.01103,0.000341077,0.000341077,0.000341077
9,982.188,1.3823,0.82957,1.00093,0.79417,0.63587,0.70147,0.34771,1.51084,0.8459,0.99219,0.000231088,0.000231088,0.000231088
10,1092.96,1.35984,0.81396,1.00299,0.78305,0.65497,0.70906,0.34221,1.57017,0.8422,1.00229,0.000121099,0.000121099,0.000121099
